waveform,V_S,V_C,V_R
t0,5/7/2021  09:59:12.269822,5/7/2021  09:59:12.269823,5/7/2021  09:59:12.269824
delta t,3.300000E-6,3.300000E-6,3.300000E-6

time,V_S,V_C,V_R
5/7/2021  09:59:12.269822,4.274541E+0,2.182472E-2,5.276031E-2
5/7/2021  09:59:12.269826,4.689282E+0,3.211911E-1,8.369590E-2
5/7/2021  09:59:12.269829,-1.206079E-1,6.969301E-1,6.919484E-2
5/7/2021  09:59:12.269832,-1.041733E-1,9.950080E-1,5.147133E-2
5/7/2021  09:59:12.269835,-8.000492E-2,1.205435E+0,3.084760E-2
5/7/2021  09:59:12.269839,-5.583649E-2,1.320155E+0,8.612647E-3
5/7/2021  09:59:12.269842,-3.199031E-2,1.336267E+0,-1.297782E-2
5/7/2021  09:59:12.269845,-9.755358E-3,1.255383E+0,-3.199031E-2
5/7/2021  09:59:12.269849,1.022388E-2,1.090715E+0,-4.874709E-2
5/7/2021  09:59:12.269852,2.794739E-2,8.567642E-1,-6.034793E-2
5/7/2021  09:59:12.269855,3.697027E-2,5.741542E-1,-6.775958E-2
5/7/2021  09:59:12.269859,4.502641E-2,2.644758E-1,-6.969305E-2
5/7/2021  09:59:12.269862,4.373743E-2,-5.583649E-2,-6.679284E-2
5/7/2021  09:59:12.269865,4.083722E-2,-3.603586E-1,-6.002568E-2
5/7/2021  09:59:12.269868,2.988086E-2,-6.191217E-1,-4.842484E-2
5/7/2021  09:59:12.269872,1.505756E-2,-8.211695E-1,-3.456828E-2
5/7/2021  09:59:12.269875,-8.798718E-5,-9.581238E-1,-1.942273E-2
5/7/2021  09:59:12.269878,-1.877824E-2,-1.024506E+0,-3.310444E-3
5/7/2021  09:59:12.269882,-3.650175E-2,-1.018706E+0,1.183510E-2
5/7/2021  09:59:12.269885,-5.325853E-2,-9.442673E-1,2.504718E-2
5/7/2021  09:59:12.269888,-6.808183E-2,-8.105354E-1,3.664802E-2
5/7/2021  09:59:12.269892,-7.936042E-2,-6.294335E-1,4.470417E-2
5/7/2021  09:59:12.269895,-8.741657E-2,-4.164293E-1,4.857112E-2
5/7/2021  09:59:12.269898,-9.257250E-2,-1.873127E-1,4.889336E-2
5/7/2021  09:59:12.269901,-9.031678E-2,4.567091E-2,4.695989E-2
5/7/2021  09:59:12.269905,-8.548309E-2,2.612534E-1,4.019273E-2
5/7/2021  09:59:12.269908,-7.871593E-2,4.400999E-1,3.213658E-2
5/7/2021  09:59:12.269911,-6.743734E-2,5.751210E-1,2.085798E-2
5/7/2021  09:59:12.269915,-5.454751E-2,6.601940E-1,9.257138E-3
5/7/2021  09:59:12.269918,-4.069094E-2,6.924186E-1,-2.021461E-3
5/7/2021  09:59:12.269921,-3.070133E-2,6.717948E-1,-1.297782E-2
5/7/2021  09:59:12.269925,-1.458904E-2,6.025119E-1,-2.232294E-2
5/7/2021  09:59:12.269928,-7.177393E-3,4.916592E-1,-2.973459E-2
5/7/2021  09:59:12.269931,-8.798718E-5,3.492265E-1,-3.489052E-2
5/7/2021  09:59:12.269934,4.745698E-3,1.874591E-1,-3.714624E-2
5/7/2021  09:59:12.269938,7.645910E-3,1.570205E-2,-3.650175E-2
5/7/2021  09:59:12.269941,4.745698E-3,-1.518657E-1,-3.360154E-2
5/7/2021  09:59:12.269944,2.489978E-3,-3.010654E-1,-2.812336E-2
5/7/2021  09:59:12.269948,-4.921673E-3,-4.212630E-1,-2.103396E-2
5/7/2021  09:59:12.269951,-1.620027E-2,-5.069803E-1,-1.330006E-2
5/7/2021  09:59:12.269954,-2.200069E-2,-5.549948E-1,-5.243918E-3
5/7/2021  09:59:12.269958,-3.360154E-2,-5.636955E-1,3.778961E-3
5/7/2021  09:59:12.269961,-4.294666E-2,-5.343711E-1,1.183510E-2
5/7/2021  09:59:12.269964,-4.939158E-2,-4.708888E-1,1.699104E-2
5/7/2021  09:59:12.269967,-5.648098E-2,-3.796933E-1,2.246921E-2
5/7/2021  09:59:12.269971,-6.099242E-2,-2.685186E-1,2.536942E-2
5/7/2021  09:59:12.269974,-6.453712E-2,-1.454208E-1,2.601392E-2
5/7/2021  09:59:12.269977,-6.324814E-2,-1.942273E-2,2.504718E-2
5/7/2021  09:59:12.269981,-5.905895E-2,9.980819E-2,2.214697E-2
5/7/2021  09:59:12.269984,-5.744772E-2,2.019601E-1,1.731328E-2
5/7/2021  09:59:12.269987,-5.261403E-2,2.809104E-1,1.151286E-2
5/7/2021  09:59:12.269991,-4.584688E-2,3.321475E-1,5.712436E-3
5/7/2021  09:59:12.269994,-3.682400E-2,3.547047E-1,-4.102329E-4
5/7/2021  09:59:12.269997,-3.199031E-2,3.489042E-1,-5.566164E-3
5/7/2021  09:59:12.270000,-2.490091E-2,3.157129E-1,-1.136659E-2
5/7/2021  09:59:12.270004,-2.006722E-2,2.593199E-1,-1.523354E-2
5/7/2021  09:59:12.270007,-1.426680E-2,1.839143E-1,-1.845599E-2
5/7/2021  09:59:12.270010,-1.104434E-2,9.723023E-2,-1.974497E-2
5/7/2021  09:59:12.270014,-1.201108E-2,4.101207E-3,-1.974497E-2
5/7/2021  09:59:12.270017,-1.362231E-2,-8.709432E-2,-1.813375E-2
5/7/2021  09:59:12.270020,-1.620027E-2,-1.695892E-1,-1.555578E-2
5/7/2021  09:59:12.270024,-1.942273E-2,-2.362940E-1,-1.168883E-2
5/7/2021  09:59:12.270027,-2.200069E-2,-2.855976E-1,-7.821884E-3
5/7/2021  09:59:12.270030,-2.490091E-2,-3.129885E-1,-2.988199E-3
5/7/2021  09:59:12.270033,-3.392379E-2,-3.194334E-1,1.200996E-3
5/7/2021  09:59:12.270037,-3.779073E-2,-3.046101E-1,5.067944E-3
5/7/2021  09:59:12.270040,-4.359116E-2,-2.710966E-1,8.934893E-3
5/7/2021  09:59:12.270043,-4.649137E-2,-2.221152E-1,1.119061E-2
5/7/2021  09:59:12.270047,-4.810260E-2,-1.618553E-1,1.312409E-2
5/7/2021  09:59:12.270050,-5.068056E-2,-9.450597E-2,1.344633E-2
5/7/2021  09:59:12.270053,-4.971382E-2,-2.651213E-2,1.312409E-2
5/7/2021  09:59:12.270057,-4.810260E-2,3.729252E-2,1.119061E-2
5/7/2021  09:59:12.270060,-4.713586E-2,9.271878E-2,8.612647E-3
5/7/2021  09:59:12.270063,-4.326891E-2,1.358997E-1,6.034681E-3
5/7/2021  09:59:12.270066,-3.972421E-2,1.642574E-1,2.812224E-3
5/7/2021  09:59:12.270070,-3.231256E-2,1.765027E-1,-4.102329E-4
5/7/2021  09:59:12.270073,-3.424603E-2,1.729580E-1,-3.310444E-3
5/7/2021  09:59:12.270076,-2.973459E-2,1.545900E-1,-6.532901E-3
5/7/2021  09:59:12.270080,-2.618989E-2,1.233321E-1,-8.466375E-3
5/7/2021  09:59:12.270083,-2.328968E-2,8.176243E-2,-1.007760E-2
5/7/2021  09:59:12.270086,-2.393417E-2,3.374781E-2,-1.104434E-2
5/7/2021  09:59:12.270090,-2.200069E-2,-1.652252E-2,-1.104434E-2
5/7/2021  09:59:12.270093,-2.200069E-2,-6.614835E-2,-9.755358E-3
5/7/2021  09:59:12.270096,-2.522315E-2,-1.106183E-1,-8.788621E-3
5/7/2021  09:59:12.270099,-2.361192E-2,-1.463875E-1,-6.532901E-3
5/7/2021  09:59:12.270103,-2.683438E-2,-1.721672E-1,-3.954936E-3
5/7/2021  09:59:12.270106,-3.166807E-2,-1.863460E-1,-1.376970E-3
5/7/2021  09:59:12.270109,-3.327929E-2,-1.886017E-1,8.787499E-4
