waveform,V_S,V_C,V_R
t0,5/7/2021  11:02:42.732267,5/7/2021  11:02:42.732268,5/7/2021  11:02:42.732268
delta t,2.500000E-6,2.500000E-6,2.500000E-6

time,V_S,V_C,V_R
5/7/2021  11:02:42.732267,4.175932E+0,-1.369325E-2,-1.032393E-1
5/7/2021  11:02:42.732269,-7.001530E-2,3.632714E-2,3.735125E-2
5/7/2021  11:02:42.732272,-6.195916E-2,8.976173E-2,8.631340E-2
5/7/2021  11:02:42.732274,-6.195916E-2,1.387194E-1,1.247942E-1
5/7/2021  11:02:42.732277,-5.938119E-2,1.825559E-1,1.608600E-1
5/7/2021  11:02:42.732279,-5.648098E-2,2.205304E-1,1.980048E-1
5/7/2021  11:02:42.732282,-5.261403E-2,2.523531E-1,2.299170E-1
5/7/2021  11:02:42.732284,-4.649137E-2,2.774441E-1,2.571922E-1
5/7/2021  11:02:42.732287,-4.391340E-2,2.955457E-1,2.794440E-1
5/7/2021  11:02:42.732289,-4.004645E-2,3.065935E-1,2.931462E-1
5/7/2021  11:02:42.732292,-3.392379E-2,3.105874E-1,3.024044E-1
5/7/2021  11:02:42.732294,-3.134582E-2,3.077530E-1,3.024527E-1
5/7/2021  11:02:42.732297,-2.747887E-2,2.982835E-1,2.981698E-1
5/7/2021  11:02:42.732299,-2.264519E-2,2.825331E-1,2.853693E-1
5/7/2021  11:02:42.732302,-1.813375E-2,2.612428E-1,2.683825E-1
5/7/2021  11:02:42.732304,-1.523354E-2,2.348957E-1,2.456799E-1
5/7/2021  11:02:42.732307,-1.136659E-2,2.040071E-1,2.170683E-1
5/7/2021  11:02:42.732309,-1.007760E-2,1.695112E-1,1.865087E-1
5/7/2021  11:02:42.732312,-8.788621E-3,1.322454E-1,1.505394E-1
5/7/2021  11:02:42.732314,-6.210656E-3,9.285379E-2,1.143126E-1
5/7/2021  11:02:42.732317,-4.921673E-3,5.227054E-2,7.410907E-2
5/7/2021  11:02:42.732319,-5.566164E-3,1.142967E-2,3.482345E-2
5/7/2021  11:02:42.732322,-5.888410E-3,-2.892803E-2,-5.444217E-3
5/7/2021  11:02:42.732324,-6.210656E-3,-6.806178E-2,-4.492289E-2
5/7/2021  11:02:42.732327,-8.466375E-3,-1.051986E-1,-8.150344E-2
5/7/2021  11:02:42.732329,-1.136659E-2,-1.396620E-1,-1.178747E-1
5/7/2021  11:02:42.732332,-1.330006E-2,-1.706791E-1,-1.492548E-1
5/7/2021  11:02:42.732334,-1.330006E-2,-1.980244E-1,-1.796851E-1
5/7/2021  11:02:42.732337,-1.942273E-2,-2.211182E-1,-2.034497E-1
5/7/2021  11:02:42.732339,-1.942273E-2,-2.396383E-1,-2.255077E-1
5/7/2021  11:02:42.732342,-2.457866E-2,-2.535203E-1,-2.413186E-1
5/7/2021  11:02:42.732344,-2.618989E-2,-2.624744E-1,-2.526536E-1
5/7/2021  11:02:42.732347,-2.747887E-2,-2.667581E-1,-2.604946E-1
5/7/2021  11:02:42.732349,-3.360154E-2,-2.660495E-1,-2.617183E-1
5/7/2021  11:02:42.732352,-3.617950E-2,-2.608961E-1,-2.605752E-1
5/7/2021  11:02:42.732354,-3.811298E-2,-2.513945E-1,-2.527985E-1
5/7/2021  11:02:42.732357,-4.165768E-2,-2.378668E-1,-2.428804E-1
5/7/2021  11:02:42.732359,-4.359116E-2,-2.207961E-1,-2.271177E-1
5/7/2021  11:02:42.732362,-4.552463E-2,-2.006333E-1,-2.096484E-1
5/7/2021  11:02:42.732364,-4.713586E-2,-1.775718E-1,-1.891201E-1
5/7/2021  11:02:42.732367,-5.035831E-2,-1.525777E-1,-1.649530E-1
5/7/2021  11:02:42.732369,-5.325853E-2,-1.260055E-1,-1.408825E-1
5/7/2021  11:02:42.732372,-5.196954E-2,-9.849912E-2,-1.131894E-1
5/7/2021  11:02:42.732374,-5.229179E-2,-7.057407E-2,-8.717086E-2
5/7/2021  11:02:42.732377,-5.164730E-2,-4.281005E-2,-5.849569E-2
5/7/2021  11:02:42.732379,-5.003607E-2,-1.581903E-2,-3.275084E-2
5/7/2021  11:02:42.732382,-4.971382E-2,9.948062E-3,-6.233147E-3
5/7/2021  11:02:42.732384,-5.035831E-2,3.410472E-2,1.864231E-2
5/7/2021  11:02:42.732387,-4.745810E-2,5.610340E-2,4.063578E-2
5/7/2021  11:02:42.732389,-4.713586E-2,7.552538E-2,6.269369E-2
5/7/2021  11:02:42.732392,-4.326891E-2,9.211299E-2,7.927739E-2
5/7/2021  11:02:42.732394,-4.197993E-2,1.056407E-1,9.555521E-2
5/7/2021  11:02:42.732397,-4.101319E-2,1.160442E-1,1.063749E-1
5/7/2021  11:02:42.732399,-3.779073E-2,1.231624E-1,1.164862E-1
5/7/2021  11:02:42.732402,-3.875747E-2,1.269953E-1,1.214452E-1
5/7/2021  11:02:42.732404,-3.392379E-2,1.274462E-1,1.238442E-1
5/7/2021  11:02:42.732407,-3.392379E-2,1.247407E-1,1.237315E-1
5/7/2021  11:02:42.732409,-3.037908E-2,1.191041E-1,1.187242E-1
5/7/2021  11:02:42.732412,-2.844561E-2,1.105687E-1,1.132499E-1
5/7/2021  11:02:42.732414,-2.522315E-2,9.948884E-2,1.028005E-1
5/7/2021  11:02:42.732417,-2.457866E-2,8.621875E-2,9.214186E-2
5/7/2021  11:02:42.732419,-1.974497E-2,7.098392E-2,7.726480E-2
5/7/2021  11:02:42.732422,-2.328968E-2,5.426750E-2,6.253268E-2
5/7/2021  11:02:42.732424,-1.910048E-2,3.645597E-2,4.556258E-2
5/7/2021  11:02:42.732427,-2.103396E-2,1.777482E-2,2.696633E-2
5/7/2021  11:02:42.732429,-2.038947E-2,-1.292834E-3,9.786965E-3
5/7/2021  11:02:42.732432,-2.200069E-2,-2.042490E-2,-1.001679E-2
5/7/2021  11:02:42.732434,-2.232294E-2,-3.884836E-2,-2.729274E-2
5/7/2021  11:02:42.732437,-2.232294E-2,-5.675648E-2,-4.653295E-2
5/7/2021  11:02:42.732439,-2.296743E-2,-7.360170E-2,-6.245644E-2
5/7/2021  11:02:42.732442,-2.264519E-2,-8.899752E-2,-7.907225E-2
5/7/2021  11:02:42.732444,-2.425641E-2,-1.028151E-1,-9.390091E-2
5/7/2021  11:02:42.732447,-2.554540E-2,-1.147968E-1,-1.059764E-1
5/7/2021  11:02:42.732449,-2.554540E-2,-1.246849E-1,-1.179391E-1
5/7/2021  11:02:42.732452,-2.780112E-2,-1.324150E-1,-1.255547E-1
5/7/2021  11:02:42.732454,-2.941235E-2,-1.378905E-1,-1.335567E-1
5/7/2021  11:02:42.732457,-2.973459E-2,-1.412080E-1,-1.367929E-1
5/7/2021  11:02:42.732459,-3.199031E-2,-1.420777E-1,-1.401902E-1
5/7/2021  11:02:42.732462,-3.585726E-2,-1.408537E-1,-1.396427E-1
5/7/2021  11:02:42.732464,-3.714624E-2,-1.375684E-1,-1.371955E-1
5/7/2021  11:02:42.732467,-3.779073E-2,-1.323828E-1,-1.342007E-1
5/7/2021  11:02:42.732469,-3.779073E-2,-1.252647E-1,-1.271648E-1
5/7/2021  11:02:42.732472,-3.940196E-2,-1.165683E-1,-1.209177E-1
5/7/2021  11:02:42.732474,-3.875747E-2,-1.065835E-1,-1.106133E-1
5/7/2021  11:02:42.732477,-4.069094E-2,-9.543929E-2,-1.013716E-1
5/7/2021  11:02:42.732479,-4.230217E-2,-8.336097E-2,-8.908683E-2
5/7/2021  11:02:42.732482,-4.036870E-2,-7.079953E-2,-7.768760E-2
5/7/2021  11:02:42.732484,-4.101319E-2,-5.775495E-2,-6.537065E-2
5/7/2021  11:02:42.732487,-4.294666E-2,-4.483920E-2,-5.199105E-2
5/7/2021  11:02:42.732489,-4.230217E-2,-3.185904E-2,-4.044693E-2
5/7/2021  11:02:42.732492,-4.101319E-2,-1.958747E-2,-2.685802E-2
5/7/2021  11:02:42.732494,-4.133544E-2,-8.024486E-3,-1.616722E-2
5/7/2021  11:02:42.732497,-4.069094E-2,2.733275E-3,-3.850257E-3
5/7/2021  11:02:42.732499,-3.843522E-2,1.252477E-2,5.214389E-3
5/7/2021  11:02:42.732502,-4.004645E-2,2.106012E-2,1.490696E-2
5/7/2021  11:02:42.732504,-3.972421E-2,2.814608E-2,2.302168E-2
5/7/2021  11:02:42.732507,-3.972421E-2,3.384705E-2,2.846369E-2
5/7/2021  11:02:42.732509,-3.585726E-2,3.803421E-2,3.451753E-2
5/7/2021  11:02:42.732512,-3.456828E-2,4.057871E-2,3.686823E-2
5/7/2021  11:02:42.732514,-3.263480E-2,4.160940E-2,3.999175E-2
5/7/2021  11:02:42.732517,-3.295705E-2,4.112626E-2,3.931553E-2
5/7/2021  11:02:42.732519,-3.231256E-2,3.932256E-2,3.952483E-2
5/7/2021  11:02:42.732522,-3.070133E-2,3.606947E-2,3.649791E-2
5/7/2021  11:02:42.732524,-2.941235E-2,3.156022E-2,3.263376E-2
5/7/2021  11:02:42.732527,-2.973459E-2,2.585925E-2,2.852810E-2
5/7/2021  11:02:42.732529,-2.909010E-2,1.932085E-2,2.166923E-2
5/7/2021  11:02:42.732532,-2.683438E-2,1.171955E-2,1.587300E-2
5/7/2021  11:02:42.732534,-2.941235E-2,3.635123E-3,7.065960E-3
5/7/2021  11:02:42.732537,-2.941235E-2,-4.835809E-3,1.104939E-4
5/7/2021  11:02:42.732539,-2.651213E-2,-1.369325E-2,-9.646476E-3
5/7/2021  11:02:42.732542,-2.844561E-2,-2.258289E-2,-1.766458E-2
5/7/2021  11:02:42.732544,-2.522315E-2,-3.150474E-2,-2.597249E-2
5/7/2021  11:02:42.732547,-2.618989E-2,-3.997567E-2,-3.553624E-2
5/7/2021  11:02:42.732549,-2.844561E-2,-4.809230E-2,-4.262051E-2
5/7/2021  11:02:42.732552,-2.812336E-2,-5.572579E-2,-5.142753E-2
5/7/2021  11:02:42.732554,-2.973459E-2,-6.252186E-2,-5.740085E-2
5/7/2021  11:02:42.732557,-2.973459E-2,-6.848049E-2,-6.504864E-2
5/7/2021  11:02:42.732559,-2.909010E-2,-7.360170E-2,-6.941190E-2
5/7/2021  11:02:42.732562,-3.263480E-2,-7.782105E-2,-7.482170E-2
5/7/2021  11:02:42.732564,-3.199031E-2,-8.078427E-2,-7.849263E-2
5/7/2021  11:02:42.732567,-3.327929E-2,-8.278122E-2,-8.026370E-2
5/7/2021  11:02:42.732569,-3.166807E-2,-8.387632E-2,-8.301690E-2
5/7/2021  11:02:42.732572,-3.327929E-2,-8.371527E-2,-8.219577E-2
5/7/2021  11:02:42.732574,-3.327929E-2,-8.245913E-2,-8.300080E-2
5/7/2021  11:02:42.732577,-3.585726E-2,-8.055881E-2,-8.045691E-2
5/7/2021  11:02:42.732579,-3.553501E-2,-7.753118E-2,-7.928156E-2
5/7/2021  11:02:42.732582,-3.585726E-2,-7.379495E-2,-7.532082E-2
5/7/2021  11:02:42.732584,-3.617950E-2,-6.944676E-2,-7.103806E-2
5/7/2021  11:02:42.732587,-3.875747E-2,-6.429334E-2,-6.749593E-2
5/7/2021  11:02:42.732589,-3.521277E-2,-5.894668E-2,-6.139380E-2
5/7/2021  11:02:42.732592,-3.585726E-2,-5.314909E-2,-5.691784E-2
5/7/2021  11:02:42.732594,-3.650175E-2,-4.706161E-2,-5.001068E-2
5/7/2021  11:02:42.732597,-3.811298E-2,-4.087752E-2,-4.530931E-2
5/7/2021  11:02:42.732599,-3.585726E-2,-3.491888E-2,-3.808014E-2
5/7/2021  11:02:42.732602,-3.779073E-2,-2.896024E-2,-3.273474E-2
5/7/2021  11:02:42.732604,-3.650175E-2,-2.332369E-2,-2.737324E-2
5/7/2021  11:02:42.732607,-3.714624E-2,-1.810586E-2,-2.106181E-2
5/7/2021  11:02:42.732609,-3.682400E-2,-1.321011E-2,-1.703665E-2
5/7/2021  11:02:42.732612,-3.714624E-2,-8.958543E-3,-1.148195E-2
5/7/2021  11:02:42.732614,-3.489052E-2,-5.318942E-3,-8.744842E-3
5/7/2021  11:02:42.732617,-3.650175E-2,-2.355726E-3,-4.381577E-3
5/7/2021  11:02:42.732619,-3.521277E-2,-1.333144E-4,-2.723214E-3
5/7/2021  11:02:42.732622,-3.456828E-2,1.541547E-3,-2.759209E-4
5/7/2021  11:02:42.732624,-3.392379E-2,2.314560E-3,1.318040E-3
5/7/2021  11:02:42.732627,-3.231256E-2,2.475604E-3,8.833233E-4
5/7/2021  11:02:42.732629,-3.199031E-2,1.928053E-3,2.026467E-3
5/7/2021  11:02:42.732632,-2.941235E-2,6.074895E-4,1.909969E-4
5/7/2021  11:02:42.732634,-3.295705E-2,-1.228416E-3,-3.081221E-4
5/7/2021  11:02:42.732637,-3.102357E-2,-3.644081E-3,-3.222333E-3
5/7/2021  11:02:42.732639,-3.070133E-2,-6.607296E-3,-4.880696E-3
5/7/2021  11:02:42.732642,-3.134582E-2,-9.892600E-3,-8.664339E-3
5/7/2021  11:02:42.732644,-3.263480E-2,-1.346778E-2,-1.219037E-2
5/7/2021  11:02:42.732647,-2.941235E-2,-1.739726E-2,-1.512068E-2
5/7/2021  11:02:42.732649,-3.070133E-2,-2.148779E-2,-2.001527E-2
5/7/2021  11:02:42.732652,-3.005684E-2,-2.577157E-2,-2.286507E-2
5/7/2021  11:02:42.732654,-3.037908E-2,-2.989430E-2,-2.822657E-2
5/7/2021  11:02:42.732657,-3.134582E-2,-3.395261E-2,-3.112468E-2
5/7/2021  11:02:42.732659,-3.005684E-2,-3.791430E-2,-3.605146E-2
5/7/2021  11:02:42.732662,-3.231256E-2,-4.155390E-2,-3.923938E-2
5/7/2021  11:02:42.732664,-3.327929E-2,-4.487141E-2,-4.239510E-2
5/7/2021  11:02:42.732667,-3.166807E-2,-4.793125E-2,-4.637195E-2
5/7/2021  11:02:42.732669,-3.295705E-2,-5.050796E-2,-4.815911E-2
5/7/2021  11:02:42.732672,-3.199031E-2,-5.269816E-2,-5.184615E-2
5/7/2021  11:02:42.732674,-3.392379E-2,-5.437302E-2,-5.261898E-2
5/7/2021  11:02:42.732677,-3.231256E-2,-5.553254E-2,-5.516287E-2
5/7/2021  11:02:42.732679,-3.070133E-2,-5.630555E-2,-5.500187E-2
5/7/2021  11:02:42.732682,-3.360154E-2,-5.643439E-2,-5.625771E-2
5/7/2021  11:02:42.732684,-3.360154E-2,-5.627334E-2,-5.645092E-2
5/7/2021  11:02:42.732687,-3.295705E-2,-5.556475E-2,-5.509847E-2
5/7/2021  11:02:42.732689,-3.263480E-2,-5.430860E-2,-5.529168E-2
5/7/2021  11:02:42.732692,-3.424603E-2,-5.269816E-2,-5.286049E-2
5/7/2021  11:02:42.732694,-3.489052E-2,-5.083005E-2,-5.224866E-2
