waveform,V_S,V_C
t0,5/7/2021  12:20:53.830937,5/7/2021  12:20:53.830938
delta t,1.650000E-6,1.650000E-6

time,V_S,V_C
5/7/2021  12:20:53.830937,4.548779E+0,-2.722834E-2
5/7/2021  12:20:53.830939,-3.779073E-2,3.382521E-2
5/7/2021  12:20:53.830941,-2.071171E-2,5.876512E-2
5/7/2021  12:20:53.830942,-1.877824E-2,8.270684E-2
5/7/2021  12:20:53.830944,-2.006722E-2,1.052640E-1
5/7/2021  12:20:53.830946,-1.620027E-2,1.264043E-1
5/7/2021  12:20:53.830947,-1.684476E-2,1.459989E-1
5/7/2021  12:20:53.830949,-1.523354E-2,1.638870E-1
5/7/2021  12:20:53.830951,-1.394455E-2,1.799717E-1
5/7/2021  12:20:53.830952,-1.104434E-2,1.941406E-1
5/7/2021  12:20:53.830954,-1.201108E-2,2.062646E-1
5/7/2021  12:20:53.830956,-7.821884E-3,2.163921E-1
5/7/2021  12:20:53.830957,-7.499638E-3,2.244748E-1
5/7/2021  12:20:53.830959,-6.210656E-3,2.304644E-1
5/7/2021  12:20:53.830960,-2.343707E-3,2.343286E-1
5/7/2021  12:20:53.830962,-3.632690E-3,2.360515E-1
5/7/2021  12:20:53.830964,-1.376970E-3,2.357777E-1
5/7/2021  12:20:53.830965,2.489978E-3,2.333626E-1
5/7/2021  12:20:53.830967,2.167733E-3,2.291280E-1
5/7/2021  12:20:53.830969,3.456716E-3,2.230418E-1
5/7/2021  12:20:53.830970,6.356927E-3,2.150557E-1
5/7/2021  12:20:53.830972,6.034681E-3,2.054273E-1
5/7/2021  12:20:53.830974,8.612647E-3,1.942694E-1
5/7/2021  12:20:53.830975,9.257138E-3,1.816784E-1
5/7/2021  12:20:53.830977,1.086837E-2,1.677351E-1
5/7/2021  12:20:53.830979,1.151286E-2,1.526647E-1
5/7/2021  12:20:53.830980,1.409082E-2,1.366122E-1
5/7/2021  12:20:53.830982,1.215735E-2,1.196580E-1
5/7/2021  12:20:53.830984,1.441307E-2,1.021082E-1
5/7/2021  12:20:53.830985,1.376858E-2,8.396270E-2
5/7/2021  12:20:53.830987,1.312409E-2,6.552740E-2
5/7/2021  12:20:53.830989,1.602430E-2,4.683453E-2
5/7/2021  12:20:53.830990,1.344633E-2,2.810948E-2
5/7/2021  12:20:53.830992,1.441307E-2,9.593757E-3
5/7/2021  12:20:53.830993,1.505756E-2,-8.696540E-3
5/7/2021  12:20:53.830995,1.473532E-2,-2.647161E-2
5/7/2021  12:20:53.830997,1.280184E-2,-4.363485E-2
5/7/2021  12:20:53.830998,1.409082E-2,-6.007355E-2
5/7/2021  12:20:53.831000,1.151286E-2,-7.557843E-2
5/7/2021  12:20:53.831002,1.119061E-2,-9.016557E-2
5/7/2021  12:20:53.831003,1.086837E-2,-1.036418E-1
5/7/2021  12:20:53.831005,8.290401E-3,-1.159426E-1
5/7/2021  12:20:53.831007,8.612647E-3,-1.269877E-1
5/7/2021  12:20:53.831008,8.934893E-3,-1.367124E-1
5/7/2021  12:20:53.831010,5.390190E-3,-1.449238E-1
5/7/2021  12:20:53.831012,5.067944E-3,-1.518470E-1
5/7/2021  12:20:53.831013,4.745698E-3,-1.572246E-1
5/7/2021  12:20:53.831015,2.167733E-3,-1.612176E-1
5/7/2021  12:20:53.831017,3.134470E-3,-1.636971E-1
5/7/2021  12:20:53.831018,5.565042E-4,-1.646953E-1
5/7/2021  12:20:53.831020,-4.102329E-4,-1.643089E-1
5/7/2021  12:20:53.831022,-1.376970E-3,-1.624574E-1
5/7/2021  12:20:53.831023,-2.021461E-3,-1.593016E-1
5/7/2021  12:20:53.831025,-5.566164E-3,-1.547934E-1
5/7/2021  12:20:53.831026,-4.599427E-3,-1.491260E-1
5/7/2021  12:20:53.831028,-6.532901E-3,-1.422188E-1
5/7/2021  12:20:53.831030,-7.821884E-3,-1.342812E-1
5/7/2021  12:20:53.831031,-6.532901E-3,-1.252810E-1
5/7/2021  12:20:53.831033,-1.039985E-2,-1.154596E-1
5/7/2021  12:20:53.831035,-9.755358E-3,-1.048493E-1
5/7/2021  12:20:53.831036,-9.433113E-3,-9.348229E-2
5/7/2021  12:20:53.831038,-1.039985E-2,-8.160005E-2
5/7/2021  12:20:53.831040,-1.136659E-2,-6.923479E-2
5/7/2021  12:20:53.831041,-1.007760E-2,-5.657972E-2
5/7/2021  12:20:53.831043,-1.201108E-2,-4.363485E-2
5/7/2021  12:20:53.831045,-1.039985E-2,-3.056116E-2
5/7/2021  12:20:53.831046,-1.072210E-2,-1.758408E-2
5/7/2021  12:20:53.831048,-1.104434E-2,-4.687489E-3
5/7/2021  12:20:53.831050,-1.007760E-2,7.999796E-3
5/7/2021  12:20:53.831051,-9.110867E-3,2.036508E-2
5/7/2021  12:20:53.831053,-1.201108E-2,3.227954E-2
5/7/2021  12:20:53.831055,-9.433113E-3,4.361440E-2
5/7/2021  12:20:53.831056,-9.433113E-3,5.436964E-2
5/7/2021  12:20:53.831058,-1.007760E-2,6.441646E-2
5/7/2021  12:20:53.831059,-7.177393E-3,7.370655E-2
5/7/2021  12:20:53.831061,-8.788621E-3,8.217552E-2
5/7/2021  12:20:53.831063,-7.177393E-3,8.971065E-2
5/7/2021  12:20:53.831064,-5.888410E-3,9.632805E-2
5/7/2021  12:20:53.831066,-4.921673E-3,1.019794E-1
5/7/2021  12:20:53.831068,-5.243918E-3,1.066486E-1
5/7/2021  12:20:53.831069,-2.343707E-3,1.102391E-1
5/7/2021  12:20:53.831071,-3.632690E-3,1.129118E-1
5/7/2021  12:20:53.831073,-2.665953E-3,1.144897E-1
5/7/2021  12:20:53.831074,-8.798718E-5,1.150371E-1
5/7/2021  12:20:53.831076,-1.376970E-3,1.144897E-1
5/7/2021  12:20:53.831078,5.565042E-4,1.130567E-1
5/7/2021  12:20:53.831079,3.134470E-3,1.107382E-1
5/7/2021  12:20:53.831081,1.200996E-3,1.074054E-1
5/7/2021  12:20:53.831083,3.456716E-3,1.032836E-1
5/7/2021  12:20:53.831084,4.101207E-3,9.840504E-2
5/7/2021  12:20:53.831086,3.134470E-3,9.268928E-2
5/7/2021  12:20:53.831088,5.390190E-3,8.628120E-2
5/7/2021  12:20:53.831089,3.456716E-3,7.932569E-2
5/7/2021  12:20:53.831091,5.390190E-3,7.179057E-2
5/7/2021  12:20:53.831092,5.712436E-3,6.380463E-2
5/7/2021  12:20:53.831094,7.323664E-3,5.546448E-2
5/7/2021  12:20:53.831096,4.745698E-3,4.677013E-2
5/7/2021  12:20:53.831097,7.323664E-3,3.793087E-2
5/7/2021  12:20:53.831099,6.034681E-3,2.883401E-2
5/7/2021  12:20:53.831101,6.034681E-3,1.975325E-2
5/7/2021  12:20:53.831102,7.968156E-3,1.064030E-2
5/7/2021  12:20:53.831104,5.067944E-3,1.640052E-3
5/7/2021  12:20:53.831106,6.356927E-3,-7.134781E-3
5/7/2021  12:20:53.831107,7.968156E-3,-1.574861E-2
5/7/2021  12:20:53.831109,6.356927E-3,-2.392771E-2
5/7/2021  12:20:53.831111,5.712436E-3,-3.184921E-2
5/7/2021  12:20:53.831112,6.356927E-3,-3.927158E-2
5/7/2021  12:20:53.831114,4.745698E-3,-4.613044E-2
5/7/2021  12:20:53.831116,4.745698E-3,-5.257068E-2
5/7/2021  12:20:53.831117,3.778961E-3,-5.828639E-2
5/7/2021  12:20:53.831119,2.812224E-3,-6.351908E-2
5/7/2021  12:20:53.831121,2.812224E-3,-6.797894E-2
5/7/2021  12:20:53.831122,4.101207E-3,-7.181089E-2
5/7/2021  12:20:53.831124,8.787499E-4,-7.487000E-2
5/7/2021  12:20:53.831125,1.845487E-3,-7.728509E-2
5/7/2021  12:20:53.831127,1.523241E-3,-7.891125E-2
5/7/2021  12:20:53.831129,-7.324786E-4,-7.992559E-2
5/7/2021  12:20:53.831130,8.787499E-4,-8.016710E-2
5/7/2021  12:20:53.831132,-2.021461E-3,-7.970018E-2
5/7/2021  12:20:53.831134,-1.699216E-3,-7.862144E-2
5/7/2021  12:20:53.831135,-2.343707E-3,-7.683427E-2
5/7/2021  12:20:53.831137,-1.376970E-3,-7.445138E-2
5/7/2021  12:20:53.831139,-3.954936E-3,-7.140837E-2
5/7/2021  12:20:53.831140,-2.021461E-3,-6.788234E-2
5/7/2021  12:20:53.831142,-4.277181E-3,-6.371229E-2
5/7/2021  12:20:53.831144,-3.954936E-3,-5.930072E-2
5/7/2021  12:20:53.831145,-3.954936E-3,-5.429344E-2
5/7/2021  12:20:53.831147,-6.210656E-3,-4.894804E-2
5/7/2021  12:20:53.831149,-5.888410E-3,-4.336113E-2
5/7/2021  12:20:53.831150,-3.954936E-3,-3.742001E-2
5/7/2021  12:20:53.831152,-6.210656E-3,-3.136619E-2
5/7/2021  12:20:53.831154,-5.566164E-3,-2.508696E-2
5/7/2021  12:20:53.831155,-4.921673E-3,-1.877552E-2
5/7/2021  12:20:53.831157,-6.532901E-3,-1.238358E-2
5/7/2021  12:20:53.831158,-4.599427E-3,-6.120443E-3
5/7/2021  12:20:53.831160,-6.532901E-3,1.748963E-4
5/7/2021  12:20:53.831162,-6.210656E-3,6.309231E-3
5/7/2021  12:20:53.831163,-4.599427E-3,1.220206E-2
5/7/2021  12:20:53.831165,-3.954936E-3,1.788558E-2
5/7/2021  12:20:53.831167,-5.888410E-3,2.334369E-2
5/7/2021  12:20:53.831168,-3.954936E-3,2.847979E-2
5/7/2021  12:20:53.831170,-4.921673E-3,3.319728E-2
5/7/2021  12:20:53.831172,-5.243918E-3,3.757666E-2
5/7/2021  12:20:53.831173,-2.988199E-3,4.153742E-2
5/7/2021  12:20:53.831175,-4.599427E-3,4.499906E-2
5/7/2021  12:20:53.831177,-3.954936E-3,4.807428E-2
5/7/2021  12:20:53.831178,-1.376970E-3,5.060208E-2
5/7/2021  12:20:53.831180,-2.343707E-3,5.274347E-2
5/7/2021  12:20:53.831182,-2.343707E-3,5.427303E-2
5/7/2021  12:20:53.831183,2.342585E-4,5.541618E-2
5/7/2021  12:20:53.831185,-1.699216E-3,5.589920E-2
