waveform,Trig,V_C
t0,4/16/2021  12:05:10.287929,4/16/2021  12:05:10.287930
delta t,1.650000E-6,1.650000E-6

time,Trig,V_C
4/16/2021  12:05:10.287929,4.131783E+0,1.047389E-1
4/16/2021  12:05:10.287931,2.342585E-4,3.028250E-1
4/16/2021  12:05:10.287933,-3.940196E-2,4.631317E-1
4/16/2021  12:05:10.287934,-3.553501E-2,5.668476E-1
4/16/2021  12:05:10.287936,-3.746849E-2,6.060474E-1
4/16/2021  12:05:10.287938,-3.005684E-2,5.795062E-1
4/16/2021  12:05:10.287939,-2.554540E-2,4.925714E-1
4/16/2021  12:05:10.287941,-2.103396E-2,3.557772E-1
4/16/2021  12:05:10.287943,-1.942273E-2,1.849716E-1
4/16/2021  12:05:10.287944,-1.491129E-2,-1.453878E-3
4/16/2021  12:05:10.287946,-1.910048E-2,-1.840136E-1
4/16/2021  12:05:10.287948,-2.038947E-2,-3.435120E-1
4/16/2021  12:05:10.287949,-2.103396E-2,-4.651012E-1
4/16/2021  12:05:10.287951,-2.715663E-2,-5.381195E-1
4/16/2021  12:05:10.287952,-3.134582E-2,-5.574128E-1
4/16/2021  12:05:10.287954,-3.489052E-2,-5.232710E-1
4/16/2021  12:05:10.287956,-4.230217E-2,-4.412986E-1
4/16/2021  12:05:10.287957,-4.294666E-2,-3.210624E-1
4/16/2021  12:05:10.287959,-4.584688E-2,-1.764445E-1
4/16/2021  12:05:10.287961,-5.229179E-2,-2.290498E-2
4/16/2021  12:05:10.287962,-4.455789E-2,1.236134E-1
4/16/2021  12:05:10.287964,-4.423565E-2,2.477149E-1
4/16/2021  12:05:10.287966,-4.326891E-2,3.381264E-1
4/16/2021  12:05:10.287967,-3.779073E-2,3.874713E-1
4/16/2021  12:05:10.287969,-3.424603E-2,3.920128E-1
4/16/2021  12:05:10.287971,-3.231256E-2,3.532970E-1
4/16/2021  12:05:10.287972,-2.490091E-2,2.768643E-1
4/16/2021  12:05:10.287974,-2.812336E-2,1.717014E-1
4/16/2021  12:05:10.287976,-2.457866E-2,4.972604E-2
4/16/2021  12:05:10.287977,-1.974497E-2,-7.604957E-2
4/16/2021  12:05:10.287979,-2.618989E-2,-1.925811E-1
4/16/2021  12:05:10.287981,-2.780112E-2,-2.881126E-1
4/16/2021  12:05:10.287982,-2.651213E-2,-3.539799E-1
4/16/2021  12:05:10.287984,-3.360154E-2,-3.848683E-1
4/16/2021  12:05:10.287985,-3.360154E-2,-3.789741E-1
4/16/2021  12:05:10.287987,-3.585726E-2,-3.383586E-1
4/16/2021  12:05:10.287989,-4.069094E-2,-2.687551E-1
4/16/2021  12:05:10.287990,-4.036870E-2,-1.778295E-1
4/16/2021  12:05:10.287992,-4.423565E-2,-7.601736E-2
4/16/2021  12:05:10.287994,-4.488014E-2,2.611692E-2
4/16/2021  12:05:10.287995,-4.069094E-2,1.181056E-1
4/16/2021  12:05:10.287997,-3.682400E-2,1.908980E-1
4/16/2021  12:05:10.287999,-4.036870E-2,2.378911E-1
4/16/2021  12:05:10.288000,-3.489052E-2,2.554129E-1
4/16/2021  12:05:10.288002,-3.295705E-2,2.427869E-1
