waveform,V_S,V_C,V_R
t0,5/7/2021  09:47:50.887937,5/7/2021  09:47:50.887938,5/7/2021  09:47:50.887939
delta t,2.500000E-6,2.500000E-6,2.500000E-6

time,V_S,V_C,V_R
5/7/2021  09:47:50.887937,4.242638E+0,1.505756E-2,4.051497E-2
5/7/2021  09:47:50.887940,4.882635E+0,2.158167E-1,9.465226E-2
5/7/2021  09:47:50.887942,4.828496E+0,5.938113E-1,1.423446E-1
5/7/2021  09:47:50.887945,4.780158E+0,1.117462E+0,1.829476E-1
5/7/2021  09:47:50.887947,4.742132E+0,1.757122E+0,2.145277E-1
5/7/2021  09:47:50.887950,4.712806E+0,2.479603E+0,2.377294E-1
5/7/2021  09:47:50.887952,4.691538E+0,3.252358E+0,2.502970E-1
5/7/2021  09:47:50.887955,4.681870E+0,4.042841E+0,2.538417E-1
5/7/2021  09:47:50.887957,4.683481E+0,4.828496E+0,2.486858E-1
5/7/2021  09:47:50.887960,4.693149E+0,5.587410E+0,2.345069E-1
5/7/2021  09:47:50.887962,4.713773E+0,6.289290E+0,2.125942E-1
5/7/2021  09:47:50.887965,4.744387E+0,6.911577E+0,1.842366E-1
5/7/2021  09:47:50.887967,4.778224E+0,7.440090E+0,1.510453E-1
5/7/2021  09:47:50.887970,4.819795E+0,7.858069E+0,1.136648E-1
5/7/2021  09:47:50.887972,4.863944E+0,8.159390E+0,7.306179E-2
5/7/2021  09:47:50.887975,4.910993E+0,8.335026E+0,3.149209E-2
5/7/2021  09:47:50.887977,4.958043E+0,8.382400E+0,-8.466375E-3
5/7/2021  09:47:50.887980,5.002192E+0,8.298610E+0,-4.713586E-2
5/7/2021  09:47:50.887982,5.047307E+0,8.087846E+0,-8.258288E-2
5/7/2021  09:47:50.887985,5.083722E+0,7.764934E+0,-1.125517E-1
5/7/2021  09:47:50.887987,5.118204E+0,7.350822E+0,-1.376869E-1
5/7/2021  09:47:50.887990,5.140762E+0,6.865815E+0,-1.550881E-1
5/7/2021  09:47:50.887992,5.160419E+0,6.331506E+0,-1.666890E-1
5/7/2021  09:47:50.887995,5.170409E+0,5.770774E+0,-1.718449E-1
5/7/2021  09:47:50.887997,5.175243E+0,5.204568E+0,-1.695892E-1
5/7/2021  09:47:50.888000,5.167831E+0,4.650611E+0,-1.608886E-1
5/7/2021  09:47:50.888002,5.157197E+0,4.135650E+0,-1.473543E-1
5/7/2021  09:47:50.888005,5.139473E+0,3.676763E+0,-1.276973E-1
5/7/2021  09:47:50.888007,5.115948E+0,3.286839E+0,-1.051401E-1
5/7/2021  09:47:50.888010,5.087912E+0,2.975867E+0,-7.903818E-2
5/7/2021  09:47:50.888012,5.057620E+0,2.751259E+0,-5.035831E-2
5/7/2021  09:47:50.888015,5.026683E+0,2.618815E+0,-2.200069E-2
5/7/2021  09:47:50.888017,4.991557E+0,2.579822E+0,6.356927E-3
5/7/2021  09:47:50.888020,4.960298E+0,2.634927E+0,3.374781E-2
5/7/2021  09:47:50.888022,4.932907E+0,2.780584E+0,5.823849E-2
5/7/2021  09:47:50.888025,4.906804E+0,3.005514E+0,7.950671E-2
5/7/2021  09:47:50.888027,4.881346E+0,3.297795E+0,9.723023E-2
5/7/2021  09:47:50.888030,4.863300E+0,3.640671E+0,1.101201E-1
5/7/2021  09:47:50.888032,4.851054E+0,4.018994E+0,1.175317E-1
5/7/2021  09:47:50.888035,4.845253E+0,4.417622E+0,1.207542E-1
5/7/2021  09:47:50.888037,4.845575E+0,4.820440E+0,1.191429E-1
5/7/2021  09:47:50.888040,4.848154E+0,5.213914E+0,1.136648E-1
5/7/2021  09:47:50.888042,4.854921E+0,5.580964E+0,1.033529E-1
5/7/2021  09:47:50.888045,4.868456E+0,5.906445E+0,8.981857E-2
5/7/2021  09:47:50.888047,4.885535E+0,6.181010E+0,7.338404E-2
5/7/2021  09:47:50.888050,4.906482E+0,6.397891E+0,5.404929E-2
5/7/2021  09:47:50.888052,4.928717E+0,6.551932E+0,3.407006E-2
5/7/2021  09:47:50.888055,4.951275E+0,6.639265E+0,1.376858E-2
5/7/2021  09:47:50.888057,4.974800E+0,6.658601E+0,-6.210656E-3
5/7/2021  09:47:50.888060,4.997035E+0,6.611228E+0,-2.554540E-2
5/7/2021  09:47:50.888062,5.017338E+0,6.500370E+0,-4.294666E-2
