waveform,Trig,V_R
t0,4/16/2021  12:09:18.209143,4/16/2021  12:09:18.209144
delta t,1.650000E-6,1.650000E-6

time,Trig,V_R
4/16/2021  12:09:18.209143,4.140484E+0,1.373652E-2
4/16/2021  12:09:18.209145,4.860077E+0,3.960718E-2
4/16/2021  12:09:18.209147,4.873612E+0,6.071860E-2
4/16/2021  12:09:18.209148,4.850087E+0,7.589856E-2
4/16/2021  12:09:18.209150,4.835908E+0,8.401991E-2
4/16/2021  12:09:18.209152,4.834941E+0,8.469615E-2
4/16/2021  12:09:18.209153,4.838808E+0,7.830726E-2
4/16/2021  12:09:18.209155,4.859432E+0,6.580004E-2
4/16/2021  12:09:18.209157,4.884891E+0,4.855923E-2
4/16/2021  12:09:18.209158,4.912282E+0,2.863935E-2
4/16/2021  12:09:18.209160,4.949019E+0,8.030438E-3
4/16/2021  12:09:18.209162,4.980600E+0,-1.177982E-2
4/16/2021  12:09:18.209163,5.007992E+0,-2.848585E-2
4/16/2021  12:09:18.209165,5.033128E+0,-4.070303E-2
4/16/2021  12:09:18.209166,5.045696E+0,-4.785816E-2
4/16/2021  12:09:18.209168,5.054397E+0,-4.944247E-2
4/16/2021  12:09:18.209170,5.053108E+0,-4.562983E-2
4/16/2021  12:09:18.209171,5.042151E+0,-3.723817E-2
4/16/2021  12:09:18.209173,5.025716E+0,-2.523996E-2
4/16/2021  12:09:18.209175,5.006703E+0,-1.087174E-2
4/16/2021  12:09:18.209176,4.981889E+0,4.391685E-3
4/16/2021  12:09:18.209178,4.957720E+0,1.921720E-2
4/16/2021  12:09:18.209180,4.939996E+0,3.185950E-2
4/16/2021  12:09:18.209181,4.921305E+0,4.144911E-2
4/16/2021  12:09:18.209183,4.909704E+0,4.731625E-2
4/16/2021  12:09:18.209185,4.906482E+0,4.916462E-2
4/16/2021  12:09:18.209186,4.910027E+0,4.697491E-2
4/16/2021  12:09:18.209188,4.911960E+0,4.118506E-2
4/16/2021  12:09:18.209190,4.929040E+0,3.270961E-2
4/16/2021  12:09:18.209191,4.939996E+0,2.234074E-2
4/16/2021  12:09:18.209193,4.960943E+0,1.076111E-2
4/16/2021  12:09:18.209195,4.975122E+0,-3.805538E-4
4/16/2021  12:09:18.209196,4.990913E+0,-1.026636E-2
4/16/2021  12:09:18.209198,5.007025E+0,-1.789163E-2
4/16/2021  12:09:18.209199,5.015726E+0,-2.258014E-2
4/16/2021  12:09:18.209201,5.018304E+0,-2.426748E-2
4/16/2021  12:09:18.209203,5.020882E+0,-2.277978E-2
4/16/2021  12:09:18.209204,5.011537E+0,-1.867734E-2
4/16/2021  12:09:18.209206,5.005414E+0,-1.232724E-2
4/16/2021  12:09:18.209208,4.998647E+0,-4.534525E-3
4/16/2021  12:09:18.209209,4.981567E+0,3.908665E-3
4/16/2021  12:09:18.209211,4.969966E+0,1.221662E-2
4/16/2021  12:09:18.209213,4.960298E+0,1.965514E-2
4/16/2021  12:09:18.209214,4.949019E+0,2.530971E-2
4/16/2021  12:09:18.209216,4.938707E+0,2.882611E-2
4/16/2021  12:09:18.209218,4.936451E+0,3.030738E-2
4/16/2021  12:09:18.209219,4.934840E+0,2.941218E-2
4/16/2021  12:09:18.209221,4.940319E+0,2.647541E-2
4/16/2021  12:09:18.209223,4.949019E+0,2.194788E-2
4/16/2021  12:09:18.209224,4.956431E+0,1.619027E-2
4/16/2021  12:09:18.209226,4.965132E+0,9.814394E-3
4/16/2021  12:09:18.209228,4.978989E+0,3.586651E-3
4/16/2021  12:09:18.209229,4.981889E+0,-1.958419E-3
4/16/2021  12:09:18.209231,4.993491E+0,-6.350679E-3
4/16/2021  12:09:18.209232,4.998969E+0,-9.210156E-3
4/16/2021  12:09:18.209234,4.998002E+0,-1.033076E-2
4/16/2021  12:09:18.209236,5.004770E+0,-9.680295E-3
4/16/2021  12:09:18.209237,4.998002E+0,-7.542128E-3
4/16/2021  12:09:18.209239,4.993491E+0,-4.083707E-3
4/16/2021  12:09:18.209241,4.989946E+0,1.797494E-4
4/16/2021  12:09:18.209242,4.980600E+0,4.926227E-3
4/16/2021  12:09:18.209244,4.973189E+0,9.608305E-3
4/16/2021  12:09:18.209246,4.967710E+0,1.374940E-2
4/16/2021  12:09:18.209247,4.960943E+0,1.704039E-2
4/16/2021  12:09:18.209249,4.955142E+0,1.916568E-2
4/16/2021  12:09:18.209251,4.956109E+0,2.003512E-2
4/16/2021  12:09:18.209252,4.952886E+0,1.961006E-2
4/16/2021  12:09:18.209254,4.956109E+0,1.805151E-2
4/16/2021  12:09:18.209256,4.962554E+0,1.548828E-2
4/16/2021  12:09:18.209257,4.962232E+0,1.222950E-2
4/16/2021  12:09:18.209259,4.968033E+0,8.719548E-3
4/16/2021  12:09:18.209261,4.976733E+0,5.209599E-3
4/16/2021  12:09:18.209262,4.979634E+0,2.137591E-3
4/16/2021  12:09:18.209264,4.987046E+0,-3.869941E-4
4/16/2021  12:09:18.209265,4.988335E+0,-1.977740E-3
